eGRID2016 Plant file sequence number,Plant state abbreviation,Plant name,Plant latitude,Plant longitude,Plant primary fuel,Plant capacity factor,Plant nameplate capacity (MW),Plant annual net generation (MWh),Plant annual CO2 equivalent emissions (tons)
SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
5739,NC,Langley PV1,35.801944,-77.848889,SUN,0.2036,5,8919,0
5740,NC,Lanier Solar,34.898889,-77.808889,SUN,0.0654,4.9,2808,0
5741,NC,Laurinburg Farm,34.764403,-79.442969,SUN,0.232,5,10162,0
5742,NC,Laurinburg Solar,34.756481,-79.430243,SUN,0.2156,5,9442,0
5743,NC,"Laurinburg Solar, LLC (Heelstone)",34.707644,-79.29538,SUN,0.2384,2,4177,0
5744,NC,"Leggett Solar, LLC",36.058,-77.623,SUN,0,5,0,
5745,NC,Lenoir Farm,35.331667,-77.666389,SUN,0.1969,5,8626,0
5746,NC,Lenoir Farm 2,35.35,-77.475,SUN,0.1641,5,7186,0
5747,NC,Lewiston Solar,36.141111,-77.211111,SUN,0.2299,5,10068,0
5748,NC,Lexington,35.7736,-80.2594,DFO,0,3.6,-61,10
5749,NC,Lexington Health Center,35.830877,-80.242154,DFO,0,1.8,-30,5
5750,NC,Lexington Hickory Street,35.8075,-80.2653,DFO,,1.8,,
5751,NC,Lillington Solar,35.368,-78.801,SUN,,5,,
5752,NC,Lincoln,35.4317,-81.0347,DFO,0.003,"1,753.60",46112,"45,451"
5753,NC,"Lincoln Solar, LLC (NC)",35.379505,-81.817582,SUN,0.0055,4.9,237,0
5754,NC,Lincolnton High School,35.477415,-81.262259,DFO,0.0037,1.8,58,74
5755,NC,Little River PV 1,35.538889,-79.804167,SUN,0.1669,5,7311,0
5756,NC,Littlefield Solar Center LLC,35.433889,-77.438056,SUN,0.2152,5,9425,0
