eGRID2016 Plant file sequence number,Plant state abbreviation,Plant name,Plant latitude,Plant longitude,Plant primary fuel,Plant capacity factor,Plant nameplate capacity (MW),Plant annual net generation (MWh),Plant annual CO2 equivalent emissions (tons)
SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
1,AK,7-Mile Ridge Wind Project,63.210689,-143.247156,WND,,1.8,,
2,AK,Agrium Kenai Nitrogen Operations,60.6732,-151.3784,NG,,21.6,,
3,AK,Alakanuk,62.6833,-164.6544,DFO,0.0533,2.6,1213,"1,050"
4,AK,Allison Creek Hydro,61.084444,-146.353333,WAT,0.0155,6.5,881,0
5,AK,Ambler,67.08798,-157.856719,DFO,0.1366,1.1,1316,"1,088"
6,AK,Anchorage 1,61.2221,-149.8661,NG,0.0424,121.4,45082,"31,903"
7,AK,Angoon,57.499166,-134.58614,DFO,0.103,1.9,1714,"1,430"
8,AK,Aniak,61.580678,-159.535643,DFO,0.1148,2.6,2614,"2,167"
9,AK,Annex Creek,58.3176,-134.101,WAT,0.7319,4,25644,0
10,AK,Auke Bay,58.3875,-134.6446,DFO,0,36.2,8,244
11,AK,Aurora Energy LLC Chena,64.847743,-147.735063,SUB,0.7002,31.3,191982,"191,349"
12,AK,Barrow,71.292,-156.7786,NG,0.2821,20.3,50162,"44,205"
13,AK,Battery Energy Storage System,64.8167,-147.725,MWH,0,40,-2392,0
14,AK,Beaver Falls,55.37975,-131.470269,WAT,0.9072,5.4,42915,0
15,AK,Beluga,61.1861,-151.0356,NG,0.0257,374.4,84421,"89,981"
16,AK,Bernice Lake,60.6935,-151.3874,NG,0,76.7,12,429
17,AK,Bethel,60.7897,-161.787778,DFO,0.3716,12.6,41020,"33,000"
18,AK,Black Bear Lake,55.476472,-133.14772,WAT,0.5267,4.5,20763,0
19,AK,Blue Lake Hydro,57.0516,-135.2297,WAT,0.3441,22.9,69018,0
20,AK,Bradley Lake,59.77862,-150.94015,WAT,0.39,126,430509,0
21,AK,Brevig Mission,65.331716,-166.479506,DFO,0.0865,1.5,1137,878
22,AK,Centennial,55.121433,-131.560267,DFO,0.1054,3.3,3046,"3,050"
23,AK,Chester Lake,55.116879,-131.545879,WAT,0.5234,1,4585,0
24,AK,Chevak,61.525297,-165.590152,DFO,0.1007,2.8,2471,"1,515"
25,AK,Cooper Lake,60.392331,-149.665603,WAT,0.51,19.4,86666,0
26,AK,Craig (AK),55.47691,-133.14869,DFO,0.0079,6.2,431,465
27,AK,Delta Power,64.028056,-145.719444,DFO,0.0002,23.1,38,298
28,AK,Delta Wind Farm,64.013889,-145.596667,WND,0.2671,1.9,4446,0
29,AK,Dillingham,59.042914,-158.468597,DFO,0.1933,10.7,18122,"14,187"
30,AK,Dutch Harbor,53.892459,-166.538185,DFO,0.206,26,46918,"34,984"
31,AK,Eielson AFB Central Heat & Power Plant,64.67141,-147.075988,SUB,0.2382,33.5,69895,"41,747"
32,AK,Eklutna Generation Station,61.457778,-149.351389,NG,0.5468,171,819046,"417,888"
33,AK,Eklutna Hydro Project,61.475211,-149.15009,WAT,0.1978,44.4,76916,0
34,AK,Elim,64.616558,-162.263717,DFO,0.0912,1.6,1278,948
35,AK,Emmonak,62.777694,-164.531517,DFO,0.1107,4.8,4654,"3,020"
36,AK,ESS Battery,57.799167,-152.404167,MWH,0,3,0,
37,AK,Eva Creek Wind,64.058333,-148.9,WND,0.3427,24.6,73845,0
38,AK,Fairbanks,64.854171,-147.719351,DFO,0.0193,42.2,7133,"12,944"
39,AK,False Island,55.48918,-133.1345,DFO,0.0492,1.6,689,559
40,AK,Fire Island Wind,61.13,-150.243611,WND,0.3553,18,56022,0
41,AK,Flywheel Energy Storage System,57.780114,-152.443783,MWH,0,2,0,
42,AK,Fort Greely Power Plant,63.973572,-145.716581,DFO,0.0012,10.4,108,89
43,AK,Galena Electric Utility,64.74417,-156.8736,DFO,0.0769,8,5390,"4,742"
44,AK,Gambell,63.777058,-171.712439,DFO,0.1148,1.9,1911,"1,143"
45,AK,George M Sullivan Generation Plant 2,61.229713,-149.716744,NG,0.1611,418,589738,"380,840"
46,AK,Glennallen,62.110415,-145.532529,DFO,0.1051,11.3,10403,"8,335"
47,AK,Goat Lake Hydro,59.5357,-135.2123,WAT,0.4839,4,16957,0
48,AK,Gold Creek,58.3107,-134.4174,WAT,0.0541,9.7,4597,9
49,AK,Green Lake,56.986284,-135.12275,WAT,0.2208,18.6,35983,0
50,AK,Gwitchyaa Zhee,66.566287,-145.253052,DFO,0.0486,6,2554,"2,469"
51,AK,Haines,59.235931,-135.446228,DFO,0,7.3,-201,101
52,AK,Healy,63.8542,-148.95,LIG,0.2368,92.8,192475,"300,820"
53,AK,Hiilangaay Hydro,55.216389,-132.603611,WAT,,5,,
54,AK,Hoonah,58.106432,-135.43074,DFO,0.1124,3.4,3348,"2,673"
55,AK,Hooper Bay,61.530858,-166.101944,DFO,0.1151,3.3,3326,"2,272"
56,AK,Humpback Creek,60.612822,-145.679411,WAT,0.3561,1.2,3743,0
57,AK,Hydaburg,55.204937,-132.821435,DFO,0,1,-9,16
58,AK,Industrial Plant,58.367635,-134.60802,DFO,0.0004,41.7,138,"1,531"
59,AK,International,61.168972,-149.911038,NG,0,46.3,-780,136
60,AK,Jarvis Street,57.0497,-135.3128,DFO,0.0049,25.6,1099,"1,734"
61,AK,JBER Landfill Gas Power Plant,61.286,-149.61,LFG,0.422,11.5,42516,1
62,AK,Kake,56.962983,-133.922557,DFO,0.0814,3,2139,"1,892"
63,AK,Kasidaya Creek Hydro,59.4072,-135.3408,WAT,0.271,3,7123,0
64,AK,Kasigluk,60.8731,-162.5197,DFO,0.1407,2.4,2958,"1,934"
65,AK,Ketchikan,55.344641,-131.633425,WAT,0.5622,4.2,20683,0
66,AK,Kiana,66.973889,-160.428592,DFO,0.1038,1.7,1545,"1,198"
67,AK,King Cove,55.061683,-162.3103,WAT,0.1719,2.6,3914,"1,663"
68,AK,Kivalina,67.726644,-164.538447,DFO,0.133,1.1,1282,971
69,AK,Klawock,55.557778,-132.981389,DFO,,1.4,,
70,AK,Kodiak,57.789956,-152.396982,DFO,0,37.3,0,
71,AK,Kotlik,63.03215,-163.553106,DFO,0.1571,1.4,1927,"1,466"
72,AK,Kotzebue,66.837778,-162.556944,DFO,0.1146,20.4,20474,"13,178"
73,AK,Koyuk,64.932089,-161.167103,DFO,0.1336,1.1,1287,947
74,AK,Lake Dorothy Hydroelectric Project,58.2325,-134.0533,WAT,0.6981,14.3,87454,0
75,AK,Lemon Creek,58.3536,-134.4953,DFO,0.0004,61.7,212,275
76,AK,Mahoney Lake Hydroelectric,55.419444,-131.537778,WAT,,9.6,,
77,AK,Marshall,61.878186,-162.085147,DFO,0.153,1.1,1474,"1,164"
78,AK,McGrath,62.95699,-155.594997,DFO,0.0817,3.2,2289,"1,808"
79,AK,Mountain Village,62.085569,-163.729072,DFO,0.0842,3.7,2729,"2,187"
80,AK,Naknek,58.730417,-157.007222,DFO,0.2269,11.1,22066,"9,587"
81,AK,New Stuyahok,59.448358,-157.325528,DFO,0.1095,1.4,1343,"1,037"
82,AK,Newhalen,59.899054,-154.698735,WAT,0.1133,3.2,3177,67
83,AK,Nikiski Co-Generation,60.676539,-151.377713,NG,0.5846,77.9,398898,"204,592"
84,AK,Noatak,67.570931,-162.965728,DFO,0.1217,1.7,1813,"1,406"
85,AK,Noorvik,66.834519,-161.038717,DFO,0.0963,2.2,1855,"1,432"
86,AK,North Pole,64.7356,-147.3481,WO,0.2634,181,417652,"328,134"
87,AK,Northway,62.9617,-141.9372,DFO,0.0843,1.5,1107,983
88,AK,NSB Anaktuvuk Pass,68.13795,-151.741017,DFO,0.1518,2.9,3855,"3,652"
89,AK,NSB Atqasuk Utility,70.4826,-157.4252,DFO,0.096,3.4,2859,"2,930"
90,AK,NSB Kaktovik Utility,70.125617,-143.619033,DFO,0.2011,2.6,4580,"4,294"
91,AK,NSB Nuiqsut Utility,70.220565,-150.993492,DFO,0.151,4.8,6349,"5,825"
92,AK,NSB Point Hope Utility,68.348424,-166.737211,DFO,0.1625,4.6,6549,"4,882"
93,AK,NSB Point Lay Utility,69.740833,-163.005833,DFO,0.0896,4.6,3609,"3,064"
94,AK,NSB Wainwright Utility,70.642877,-160.020461,DFO,0.2351,3.3,6796,"6,221"
95,AK,Nunapitchuk,60.89588,-162.459756,DFO,,2.2,,
96,AK,Nymans Plant,57.731608,-152.507044,DFO,0,10,0,
97,AK,Orca,60.555889,-145.752983,DFO,0.0466,13.7,5589,"4,604"
98,AK,Pelican,57.957197,-136.220095,WAT,0.038,2.9,964,2
99,AK,Petersburg,56.81104,-132.957091,WAT,0.0905,14.8,11732,102
100,AK,Pillar Mountain Wind Project,57.7869,-152.4406,WND,0.3718,9,29309,0
101,AK,Pilot Station,61.936456,-162.880706,DFO,0.1301,1.7,1938,"1,573"
102,AK,Port Lions,57.864775,-152.855441,DFO,0,1,0,
103,AK,Power Creek,60.588686,-145.604539,WAT,0.2956,6,15539,0
104,AK,Purple Lake,55.091263,-131.544978,WAT,0.4182,3.9,14286,0
105,AK,Quinhagak,59.747436,-161.910647,DFO,0.2237,1.1,2156,"1,462"
106,AK,S W Bailey,55.357397,-131.69696,DFO,0,25.9,-1111,636
107,AK,Salmon Creek 1,58.3269,-134.4631,WAT,0.3747,8.5,27902,0
108,AK,Savoonga,63.695267,-170.475661,DFO,0.1546,1.7,2302,"1,683"
109,AK,Scammon Bay,61.843036,-165.581497,DFO,0.1435,1.3,1634,"1,306"
110,AK,Selawik,66.606778,-160.014808,DFO,0.0747,4.3,2812,"2,169"
111,AK,Seldovia,59.439542,-151.713439,DFO,0.0018,5.5,87,65
112,AK,Seward (AK),60.130922,-149.43501,DFO,0.0006,18.6,105,144
113,AK,Shishmaref,66.255072,-166.073589,DFO,0.0813,2.3,1638,"1,261"
114,AK,Shungnak,66.888114,-157.140206,DFO,0.1476,1.2,1551,"1,262"
115,AK,Silvis,55.381402,-131.517758,WAT,0.7179,2.1,13207,0
116,AK,Skagway,59.4545,-135.3131,WAT,0.0722,4.4,2781,157
117,AK,Snake River,64.505331,-165.429814,DFO,0.1415,25.7,31847,"21,124"
118,AK,Snettisham,58.1415,-133.737,WAT,0.3986,78.2,273037,0
119,AK,Soldotna,60.499444,-150.997222,NG,0.0452,100,39612,"27,231"
120,AK,Solomon Gulch,61.0828,-146.3033,WAT,0.5218,12,54850,0
121,AK,South Fork,55.563333,-132.891111,WAT,0.3038,2,5322,0
122,AK,Southcentral Power Project,61.167417,-149.905304,NG,0.4882,203.9,871990,"393,968"
123,AK,St Marys IC,62.051525,-163.172567,DFO,0.0479,7.1,2980,"2,724"
124,AK,St. Michael,63.4775,-162.0383,DFO,,1.7,,
125,AK,Stebbins,63.521047,-162.286322,DFO,0.1195,3.2,3351,"2,744"
126,AK,Swampy Acres,57.77556,-152.48028,DFO,0,8.4,0,
127,AK,Swan Lake,55.615208,-131.356111,WAT,0.3599,22.6,71246,0
128,AK,Sweetheart Lake Hydroelectric Facility,57.9449,-133.6867,WAT,,19.8,,
129,AK,Terror Lake,57.6861,-152.895,WAT,0.4229,33.6,124484,0
130,AK,Tesoro Kenai Cogeneration Plant,60.677,-151.3815,NG,0.832,8.6,62679,"18,098"
131,AK,Thorne Bay Plant,55.68586,-132.52892,DFO,0,1,-1,54
132,AK,TNSG North Plant,70.235278,-148.383611,NG,0.3229,25.7,72702,"55,911"
133,AK,TNSG South Plant,70.2,-148.466667,NG,0,8.4,0,
134,AK,Togiak,59.059744,-160.380278,DFO,0.0922,3.7,2987,"2,405"
135,AK,Tok,63.33552,-142.99997,DFO,0.1378,7.6,9175,"7,191"
136,AK,Toksook Bay,60.530142,-165.108575,DFO,0.2303,1.7,3430,"2,364"
137,AK,Tyee Lake Hydroelectric Facility,56.216403,-131.504344,WAT,0.4895,22.6,96901,0
138,AK,Unalakleet,63.876789,-160.790414,DFO,0.1014,3.6,3199,"2,519"
139,AK,Unalaska Power Module,53.863993,-166.512591,DFO,0.03,1.1,289,238
140,AK,Unisea G 2,53.8796,-166.5532,DFO,0.1804,19.2,30339,"25,922"
141,AK,University of Alaska Fairbanks,64.854171,-147.822075,SUB,0.1184,39.6,41064,"24,759"
142,AK,Upper Kalskag,61.526858,-160.348128,DFO,0.1502,1.1,1447,"1,129"
143,AK,Utility Plants Section,64.825601,-147.648627,SUB,0.5355,22.5,105551,"69,032"
144,AK,Valdez,61.1303,-146.3647,DFO,0.0594,9.7,5050,"4,518"
145,AK,Valdez Cogen,61.0839,-146.2529,WO,0.3799,5.3,17636,"13,009"
146,AK,Viking,55.540708,-133.102344,DFO,0,1,-10,0
147,AK,Westward Seafoods,53.858508,-166.55288,DFO,0.3192,6.6,18455,"6,697"
148,AK,Whitman,55.328056,-131.530833,WAT,0.1819,4.8,7649,0
149,AK,Wrangell,56.460976,-132.379439,DFO,0.0003,14.7,44,55
150,AK,Yakutat,59.544553,-139.724306,DFO,0.0859,7.7,5794,"4,686"
151,AL,ABC Coke,33.582793,-86.779866,OG,0.0898,3.8,2989,994
152,AL,Alabama Pine Pulp,31.5825,-87.4889,BLQ,0.727,69,439412,"10,318"
153,AL,Alabama River Pulp,31.5825,-87.4889,BLQ,0.7384,48,310492,"12,953"
154,AL,Albertville,34.363389,-86.223889,DFO,0,4,0,
155,AL,AMEA Sylacauga Plant,33.1661,-86.2825,NG,0.0535,98.6,46242,"31,143"
156,AL,ANAD Solar Array,33.626728,-85.969481,SUN,,7.4,,
157,AL,APC1,,,NG,,270,,
158,AL,APC2,,,NG,,300,,
159,AL,APC3,,,NG,,200,,
160,AL,Bankhead Dam,33.458665,-87.356823,WAT,0,53.9,-325,0
161,AL,Barry,31.0069,-88.0103,BIT,0.5131,"2,841.50",12770891,"8,273,769"
162,AL,Bartletts Ferry,32.661976,-85.091552,WAT,0.2389,173,362014,0
163,AL,Bellefonte,34.7092,-85.9278,DFO,,14,,
164,AL,Boise Cascade Pulp & Paper Mill,31.4894,-87.8989,BLQ,0.7884,18,124312,"16,045"
165,AL,Browns Ferry,34.7042,-87.1189,NUC,0.8565,"3,494.00",26214623,0
166,AL,Calhoun Energy Center,33.5883,-85.9731,NG,0.0298,748,195125,"127,182"
167,AL,Charles R Lowman,31.488019,-87.910747,BIT,0.3142,538,1480692,"1,951,563"
168,AL,Colbert,34.7439,-87.8486,BIT,0.0465,"1,826.00",744333,"972,218"
169,AL,Crestwood Dothan,31.262356,-85.402737,DFO,0.0058,13.6,695,602
170,AL,Decatur Energy Center,34.6292,-87.0214,NG,0.329,902.4,2600458,"1,152,910"
171,AL,Decatur-Morgan Co LFG Recovery Project,34.623611,-87.101111,LFG,0.7827,1.6,10970,0
172,AL,District 100 Transco Gas Pipe Line,32.668889,-86.72,WH,,1.6,,
173,AL,E B Harris Generating Plant,32.381352,-86.574366,NG,0.2747,"2,534.00",6096885,"2,517,672"
174,AL,E C Gaston,33.244211,-86.458056,BIT,0.2402,"2,034.00",4280420,"5,013,582"
175,AL,ExxonMobil Mobile Bay Onshore,30.43203,-88.18241,NG,0.7923,12,83285,"25,609"
176,AL,Fort Rucker Solar Array,31.331148,-85.73019,SUN,,10.6,,
177,AL,Gadsden,34.0128,-85.9708,NG,0.158,138,190978,"118,251"
178,AL,Gantt,31.4033,-86.479469,WAT,0.2176,3,5718,0
179,AL,Georgia-Pacific Brewton Mill,31.077,-87.1116,BLQ,0.2232,115.9,226578,"36,521"
180,AL,Georgia-Pacific Consr Prods LP-Naheola,32.2268,-88.0252,BLQ,0.3194,78.4,219376,"38,496"
181,AL,Goat Rock,32.60965,-85.0805,WAT,0.2972,44.6,116128,0
182,AL,Gorgas,33.644344,-87.196486,BIT,0.4427,"1,416.70",5494441,"6,183,799"
183,AL,Greene County,32.6017,-87.7811,NG,0.116,"1,288.40",1309634,"1,060,024"
184,AL,Guntersville,34.421272,-86.393931,WAT,0.5017,115.2,506256,0
185,AL,H Neely Henry Dam,33.7845,-86.0524,WAT,0.2425,72.9,154855,0
186,AL,Harris Dam,33.258281,-85.616047,WAT,0.0972,135,114934,0
187,AL,Hillabee Energy Center,33.000669,-85.903278,NG,0.7474,822.8,5387101,"2,229,445"
188,AL,Hog Bayou Energy Center,30.7478,-88.0575,NG,0.6121,280,1501249,"668,314"
189,AL,Holt Dam,33.2553,-87.4495,WAT,0.3148,46.9,129325,0
190,AL,International Paper-Prattville Mill,32.4187,-86.4718,BLQ,0.7293,89.8,573671,"181,000"
191,AL,International Paper-Riverdale Mill,32.426016,-86.870912,NG,0.6321,104.2,576969,0
192,AL,James H Miller Jr,33.6319,-87.0597,SUB,0.7359,"2,822.00",18193039,"21,724,990"
193,AL,Jones Bluff,32.324242,-86.784319,WAT,0.2717,82,195134,0
194,AL,Jordan Dam,32.6189,-86.2548,WAT,0.3074,100,269244,0
195,AL,Joseph M Farley,31.2231,-85.1116,NUC,0.8796,"1,776.40",13687256,0
196,AL,LaFayette Solar Farm,32.876313,-85.38821,SUN,,79.2,,
197,AL,Langdale,32.813836,-85.167786,WAT,0,1,0,
198,AL,Lay Dam,32.9633,-86.5187,WAT,0.261,177,404623,0
199,AL,Lewis Smith Dam,33.9406,-87.1077,WAT,0.1475,181,233853,0
200,AL,Logan Martin Dam,33.425878,-86.337547,WAT,0.2373,128.1,266305,0
201,AL,Martin Dam,32.680394,-85.911442,WAT,0.1649,210.6,304289,0
202,AL,McIntosh (7063),31.2546,-88.0299,NG,0.0522,676,308871,"199,096"
203,AL,McWilliams,31.400255,-86.476449,NG,0.6662,654,3816606,"1,685,241"
204,AL,"MeadWestvaco Coated Board, LLC",32.1761,-85.0272,NG,0.7887,112.5,777256,"154,453"
205,AL,Millers Ferry,32.100881,-87.399767,WAT,0.2704,101.1,239468,0
206,AL,Mitchell Dam,32.806025,-86.444892,WAT,0.2502,170,372569,0
207,AL,Mobile Energy Services LLC,30.736487,-88.051643,WDS,0.4092,109.2,391430,"79,395"
208,AL,Morgan Energy Center,34.6397,-87.0639,NG,0.522,900,4115273,"1,615,156"
209,AL,Plant H. Allen Franklin,32.6078,-85.0975,NG,0.4964,"2,683.80",11670861,"4,826,857"
210,AL,Point A,31.361146,-86.518307,WAT,0.3098,5.2,14113,0
211,AL,"River Bend Solar, LLC",34.831511,-87.842204,SUN,0.0476,75,31261,0
212,AL,Rock-Tenn Mill,32.4541,-87.9759,BLQ,0.311,84,228860,"17,456"
213,AL,SABIC Innovative Plastics - Burkville,32.310226,-86.52542,NG,0.5615,97,477109,"129,366"
214,AL,Sand Valley Power Station,34.343875,-85.866103,LFG,0.6455,4.8,27140,0
215,AL,Sloss Industries Corp,33.568164,-86.79873,OG,0.1083,25,23726,"7,820"
216,AL,Tenaska Central Alabama Gen Station,32.6497,-86.74,NG,0.6385,927.1,5185641,"2,416,327"
217,AL,Tenaska Lindsay Hill Generating Station,32.6514,-86.7386,NG,0.3531,939.4,2905517,"1,244,588"
218,AL,Theodore Cogeneration,30.525445,-88.128477,NG,0.4577,317.4,1272659,"462,287"
219,AL,Thurlow Dam,32.535436,-85.887614,WAT,0.2517,91,200640,0
220,AL,U S Alliance Coosa Pines,33.328107,-86.356825,BLQ,0.2777,55.4,134783,"13,039"
221,AL,US Steel (Fairfield Works),33.4885,-86.9212,PRG,0,82,0,
222,AL,Walter Bouldin Dam,32.583889,-86.283056,WAT,0.2379,225,468960,0
223,AL,Walton Discover Power Facility,32.54098,-85.038879,NG,0.0214,103,19268,"14,291"
224,AL,Washington County Cogen (Olin),31.2504,-88.0156,NG,0.6697,122.5,718606,"284,186"
225,AL,Weiss Dam,34.172142,-85.753806,WAT,0.2138,87.6,164092,0
226,AL,Westervelt Moundville Cogen,32.960714,-87.655419,WDS,0.5162,8.8,39791,490
227,AL,Weyerhaeuser Pine Hill Operations,31.9698,-87.4806,BLQ,0.7021,77.4,476045,"21,140"
228,AL,Wheeler Dam,34.8069,-87.3819,WAT,0.2868,404,1014935,0
229,AL,Widows Creek,34.883022,-85.755253,BIT,,"1,968.60",,
230,AL,Wilson Dam,34.79782,-87.62537,WAT,0.3098,666.7,1809161,0
231,AL,Yates Dam,32.5743,-85.8901,WAT,0.2637,50.5,116654,0
232,AL,Yellowhammer Gas Plant,30.403538,-88.12833,NG,0.5868,3.4,17476,"17,605"
233,AR,Archer Daniels Midland Little Rock,34.7,-92.199722,NG,,4,,
234,AR,Arkansas Nuclear One,35.311,-93.2351,NUC,0.8304,"1,845.00",13421022,0
235,AR,Ashdown,33.6417,-94.1083,BLQ,0.4183,156.5,573418,"55,501"
236,AR,Beaver Dam,36.421507,-93.847373,WAT,0.1681,112,164928,0
237,AR,Blakely Mountain,34.570984,-93.194425,WAT,0.3407,75,223819,0
238,AR,Bull Shoals,36.3635,-92.5763,WAT,0.294,340,875676,0
239,AR,Carl Bailey,35.260102,-91.363426,NG,0.0154,120,16219,"11,189"
240,AR,Carpenter,34.4425,-93.0262,WAT,0.1428,56,70029,0
241,AR,Cecil Lynch,34.7535,-92.1987,,,231,,
242,AR,City Water & Light - City of Jonesboro,35.848561,-90.725377,NG,0.0345,224.3,67723,"37,753"
243,AR,Clearwater Paper APP CB,33.7061,-91.2371,BLQ,0.4044,28,99202,"10,385"
244,AR,Columbia Flooring Melbourne,36.060514,-91.919802,WDS,0.1307,2,2289,29
245,AR,Dam 2,33.986501,-91.315788,WAT,0.4215,102.6,378865,0
246,AR,Dardanelle,35.2503,-93.1686,WAT,0.4715,160.8,664117,0
247,AR,Degray,34.211913,-93.110963,WAT,0.1792,68,106751,0
248,AR,Dell Power Plant,35.8619,-90.0253,NG,0.1236,679.1,735515,"349,741"
249,AR,Elkins Generating Center,35.9714,-94.0014,NG,0.0135,66,7805,"5,695"
250,AR,Ellis Hydro,35.351361,-94.294349,WAT,0.4881,32.4,138536,0
251,AR,Flint Creek Power Plant,36.2561,-94.5241,SUB,0.4176,558,2041334,"2,407,860"
252,AR,Fourche Creek Wastewater,34.6968,-92.165,OBG,0.2271,2.8,5571,297
253,AR,Fulton,33.6094,-93.7924,NG,0.0355,154.8,48100,"30,189"
254,AR,Genova Arkansas I LLC,36.186111,-94.284166,NG,,631.4,,
255,AR,Georgia-Pacific Crossett LLC,33.1421,-91.975,BLQ,0.6301,91.6,505600,"56,005"
256,AR,Greers Ferry Lake,35.5207,-91.9953,WAT,0.2356,96,198122,0
257,AR,Hamilton Moses,34.9806,-90.8722,NG,,138,,
258,AR,Harry D. Mattison Power Plant,36.1855,-94.2841,NG,0.0384,349,117273,"89,238"
259,AR,Harvey Couch,33.3592,-93.4649,NG,,182.7,,
260,AR,Hot Spring  Energy Facility,34.29759,-92.868344,NG,0.2367,"1,429.70",2964241,"1,214,374"
261,AR,Independence,35.678442,-91.408761,SUB,0.4886,"1,800.00",7704239,"8,300,171"
262,AR,John W. Turk Jr. Power Plant,33.649722,-93.811944,SUB,0.7027,609,3748751,"3,764,882"
263,AR,Lake Catherine,34.4341,-92.9049,NG,0.0504,752,332156,"226,751"
264,AR,Lee Creek Water Treatment Facility,35.484488,-94.392858,WAT,0,1.3,0,
265,AR,Mabelvale,34.635997,-92.409602,NG,0,78,0,
266,AR,Magnet Cove Generating Station,34.4297,-92.8317,NG,0.3132,746,2046994,"884,487"
267,AR,McClellan,33.5648,-92.7917,NG,0.0515,136,61314,"46,347"
268,AR,Municipal Light,36.3858,-90.1867,DFO,0,7.2,0,
269,AR,Murray,34.7956,-92.3569,WAT,0.3718,45.4,147872,0
270,AR,Narrows (AR),34.148427,-93.715168,WAT,0.2083,25.5,46537,0
271,AR,Norfork,36.2491,-92.2401,WAT,0.3312,80.4,233281,0
272,AR,Osceola (AR),35.6893,-89.994,DFO,0,9.6,0,
273,AR,Oswald Generating Station,34.5923,-92.2166,NG,0.0989,599.5,519479,"251,571"
274,AR,Ozark,35.4693,-93.8175,WAT,0.1182,100,103533,0
275,AR,Ozarks Natural Energy,36.164296,-94.082269,SUN,0.1827,1,1600,0
276,AR,Paragould,36.060556,-90.521389,DFO,,4.1,,
277,AR,Paragould Reciprocating,36.0242,-90.5094,NG,0.0021,19.2,354,207
278,AR,Paragould Turbine,36.024272,-90.509229,NG,0.0003,13.9,41,33
279,AR,Pine Bluff Energy Center,34.2181,-91.9025,NG,0.5867,236,1212971,"401,453"
280,AR,Pine Bluff Mill,34.221213,-91.907365,BLQ,0.5566,85,414473,"10,015"
281,AR,Plum Point Energy Station,35.6644,-89.9489,SUB,0.7302,720,4605320,"4,824,513"
282,AR,Remmel,34.4272,-92.8941,WAT,0.5425,9,42767,0
283,AR,Riceland Foods Cogeneration Plant,34.5136,-91.5331,OBS,0.2755,18,43440,560
284,AR,Robert E Ritchie,34.4629,-90.5987,NG,,923.1,,
285,AR,SR Camden,33.631538,-92.703611,SUN,0.2335,12,24542,0
286,AR,Stuttgart Solar,34.439722,-91.44,SUN,,81,,
287,AR,Thomas Fitzhugh,35.462382,-93.804926,NG,0.1579,185,255902,"137,008"
288,AR,Two Pine Landfill Gas Recovery,34.8332,-92.157103,LFG,0.8038,4.8,33799,0
289,AR,UA Central Utility Plant,36.066336,-94.172254,NG,0.7694,5.6,37742,"23,582"
290,AR,Union Power Station,33.296146,-92.589364,NG,0.4448,"2,428.00",9459445,"4,014,570"
291,AR,Warren Lumber Mill,33.6206,-92.078889,WDS,0,15,0,0
292,AR,Waste Management Eco Vista LFGTE,36.140849,-94.259713,LFG,0.8801,4,30837,0
293,AR,Whillock,35.127591,-92.790273,WAT,0.5978,32.4,169672,0
294,AR,White Bluff,34.4228,-92.1406,SUB,0.3613,"1,800.00",5697538,"6,773,189"
295,AR,White River Lock and Dam 1,35.757401,-91.636887,WAT,0.1594,4.3,6005,0
296,AR,White River Lock and Dam 2,35.744036,-91.765418,WAT,0.5207,3.5,15966,0
297,AR,White River Lock and Dam 3,35.84361,-91.850521,WAT,0.5929,4.3,22334,0
298,AZ,Actus Lend Lease DMAFB,32.1825,-110.863333,SUN,0.1705,3,4481,0
299,AZ,Agua Caliente Solar Project,32.9774,-113.4945,SUN,0.1331,637.7,743533,0
300,AZ,Agua Fria Generating Station,33.5561,-112.2153,NG,0.0158,613.5,84854,"66,926"
301,AZ,Amonix UASTP Solar Power Station,32.108147,-110.824662,SUN,0.0622,1.9,1036,0
302,AZ,Amphitheater High School Solar,32.269,-110.975,SUN,0.0088,1,77,0
303,AZ,Apache Solar 1,32.068141,-109.890379,SUN,,20,,
304,AZ,Apache Station,32.0603,-109.8931,SUB,0.3574,660.7,2068779,"2,425,133"
305,AZ,APS Saguaro Power Plant,32.5517,-111.3,NG,0.0041,435.5,15748,"10,876"
306,AZ,APS West Phoenix Power Plant,33.4417,-112.1583,NG,0.2211,"1,326.90",2570029,"1,060,214"
307,AZ,Arizona State University CHP,33.417222,-111.928333,NG,0.6227,9.2,50187,"15,427"
308,AZ,Arizona Western College PV,32.687778,-114.49611,SUN,0.1974,5.7,9854,0
309,AZ,Arlington Valley Energy Facility,33.3417,-112.8897,NG,0.3019,713,1885829,"832,398"
310,AZ,Arlington Valley Solar Energy I,33.321667,-112.880555,SUN,,127,,
311,AZ,Arlington Valley Solar Energy II,33.305,-112.833888,SUN,0.3225,129,364396,0
312,AZ,Avalon Solar,32.001389,-110.960556,SUN,0.314,29,79764,0
313,AZ,Avalon Solar II,32.000854,-110.958427,SUN,0.2728,16,38231,0
314,AZ,Avra Valley Solar,32.371667,-111.282777,SUN,0.3224,26.5,74846,0
315,AZ,Badger 1,33.498003,-112.813458,SUN,0.3189,14.8,41342,0
316,AZ,Black Mountain Generating Station,35.0361,-114.1594,NG,0.0537,121,56868,"35,176"
317,AZ,Black Mountain Solar LLC,35.0227,-114.1627,SUN,0.262,9,20652,0
